Odorants;Chemical Class I;Chemical Class II;Other Name
(-)-Carvone;Terpene;;
(+-)-Geosmin;Terpene;;
(1R)-(-)-Fenchone;Terpene;Ketone;
(S)-(+)-Carvone;Terpene;;
1,3 Dithiolane;Heterocyclic;Sulphur;
1-Heptanol;Alcohol;;Heptyl Alcohol
1-Hexanol;Alcohol;;Hexyl Alcohol
1-Nonanol;Alcohol;;Nonyl Alcohol
1-Octen-3-ol;Alcohol;;Pentyl vinyl carbinol
1-Pentanol;Alcohol;;Pentyl alcohol
2,3-Butanedione;Ketone;;Diacetyl
2,4-Dinitrotoluene;Aromatic;Amine;2,4-DNT
2-Butanone;Ketone;;Ethyl methyl ketone
2-Heptanol;Alcohol;;Methyl pentyl carbinol
2-Heptanone;Ketone;;Methyl pentyl ketone
2-Methyltetrahydro-3-Furanone;Ketone;Heterocyclic;
2-Pentanone;Ketone;;Methyl propyl ketone
2-Propanol;Alcohol;;Isopropanol
3-Hexanone;Ketone;;Ethyl propyl ketone
3-Octanone;Ketone;;Ethyl amyl ketone
6-methyl-5-hepten-2-one;Ketone;;Sulcatone
Acetic Acid;Acid;;
Acetoin;Ketone;;3-Hydroxy-2-butanone
Acetophenone;Ketone;Aromatic;
Alpha-Pinene;Terpene;;(±)-2-Pinene
Apple Cider;Complex;;
Ascorbic Acid;Acid;;Vitamin C
Balsamic Vinegar;Complex;;
Beer;Complex;;
Benzaldehyde;Aldehyde;Aromatic;
Bombylcol;Alcohol;;
Butyl Propionate;Ester;;
Butyl-Acetate;Ester;;
Butyric Acid;Acid;;
Cadaverine;Amine;;1,5-Diaminopentane
Citronellal;Aldehyde;Terpene;
Cyclohexanecarboxilic Acid;Acid;;
Dihydrojasmone;Ketone;;
Dimethyl Sulfoxide;Sulphur;Control;DMSO
DL-Limonene;Terpene;;
Ethanol;Alcohol;;
Ethyl 3-Hydroxybutyrate;Ester;;
Ethyl Acetate;Ester;;
Ethyl Proprionate;Ester;;
Ethyl Trans-2-Butenoate;Ester;;Ethyl crotonate
Ethyl-2-Methylbutyrate;Ester;;
Ethyl-Benzoate;Ester;;
Ethyl-Isobutyrate;Ester;;
Ethyl-Lactate;Lactone;;
Fruit Juice;Complex;;
Geranyl-Acetate;Ester;;
Hexanal;Aldehyde;;
Indole;Heterocyclic;Aromatic;
Isobutyric Acid;Acid;;
Lyral;Aldehyde;;
Menthol;Alcohol;Terpene;
Methyl Isoeugenol;Alcohol;;
Methyl-Acetate;Ester;;
Methyl-Butyrate;Ester;;
Methyl-Hexanoate;Ester;;
Methyl-Proprionate;Ester;;
Methyl-Salicylate;Ester;Aromatic;
Mineral Oil;Control;;
o-Cresol;Alcohol;Aromatic;2-Methylphenol
Octanal;Aldehyde;;
Pentyl-Acetate;Ester;;
Phenylacetaldehyde;Aldehyde;Aromatic;?-Tolyaldehyde
Phenylethanol;Alcohol;;
Propionic Acid;Acid;Aromatic;
Propyl Acetate;Ester;;
Pyridine;Heterocyclic;Amine;
Pyrrolidine;Heterocyclic;Amine;
Trans-2-Decenal;Aldehyde;;
Trans-2-Hexen-1-al;Aldehyde;;
Trimethylene Sulfide;Sulphur;Heterocyclic;
Urine;Complex;;
Valencene;Terpene;;
Vanilic Acid;Acid;;
Water;Control;;
test;Complex;;test;Complex;;test;Complex;;;test;Complex;;;